,song_id,Prod_artist,title
0,5582180, ZICO,밤샜지 (Prod. By ZICO)
1,5592623, 버벌진트,My Type (Prod. By 버벌진트)
2,5582180, ZICO,밤샜지 (Prod. By ZICO)
3,5592623, 버벌진트,My Type (Prod. By 버벌진트)
4,5582180, ZICO,밤샜지 (Prod. By ZICO)
5,5592623, 버벌진트,My Type (Prod. By 버벌진트)
6,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
7,5582180, ZICO,밤샜지 (Prod. By ZICO)
8,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
9,5592623, 버벌진트,My Type (Prod. By 버벌진트)
10,5616999,D.O,슈퍼스타 (Prod. by D.O)
11,5582180, ZICO,밤샜지 (Prod. By ZICO)
12,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
13,5616999,D.O,슈퍼스타 (Prod. by D.O)
14,5592623, 버벌진트,My Type (Prod. By 버벌진트)
15,5582180, ZICO,밤샜지 (Prod. By ZICO)
16,5625755,MC메타,T4SA (Prod. by MC메타)
17,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
18,5616999,D.O,슈퍼스타 (Prod. by D.O)
19,5592623, 버벌진트,My Type (Prod. By 버벌진트)
20,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
21,5634219,라이머,Puss (Prod.by 라이머)
22,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
23,5582180, ZICO,밤샜지 (Prod. By ZICO)
24,5625755,MC메타,T4SA (Prod. by MC메타)
25,5634219,라이머,Puss (Prod.by 라이머)
26,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
27,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
28,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
29,5616999,D.O,슈퍼스타 (Prod. by D.O)
30,5592623,BewhY,My Type (Prod. By 버벌진트)
31,5634221,BewhY,Unpretty Dreams (Prod.by GRAY)
32,5582180, ZICO,밤샜지 (Prod. By ZICO)
33,5625755,MC메타,T4SA (Prod. by MC메타)
34,5634219,라이머,Puss (Prod.by 라이머)
35,5642918,DEAN,아무도 모르게 (Prod. by MC몽)
36,5634218,DEAN,"Coma 07` (Prod.by DJ Juice, D.Theo)"
37,5608760,진영(B1A4),시작이 좋아 2015 (Prod. By 버벌진트)
38,5616999,D.O,슈퍼스타 (Prod. by D.O)
39,5592623, 버벌진트,My Type (Prod. By 버벌진트)
40,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
41,5647453,The Quiett,On & On (Prod.by The Quiett)
42,5582180, ZICO,밤샜지 (Prod. By ZICO)
43,5634219,라이머,Puss (Prod.by 라이머)
44,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
45,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
46,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
47,5616999,D.O,슈퍼스타 (Prod. by D.O)
48,5592623, 버벌진트,My Type (Prod. By 버벌진트)
49,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
50,5647453,The Quiett,On & On (Prod.by The Quiett)
51,5634219,라이머,Puss (Prod.by 라이머)
52,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
53,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
54,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
55,5616999,D.O,슈퍼스타 (Prod. by D.O)
56,5592623, 버벌진트,My Type (Prod. By 버벌진트)
57,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
58,5647453,The Quiett,On & On (Prod.by The Quiett)
59,5634219,라이머,Puss (Prod.by 라이머)
60,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
61,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
62,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
63,5592623, 버벌진트,My Type (Prod. By 버벌진트)
64,5616999,D.O,슈퍼스타 (Prod. by D.O)
65,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
66,5647453,The Quiett,On & On (Prod.by The Quiett)
67,5634219,라이머,Puss (Prod.by 라이머)
68,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
69,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
70,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
71,5616999,D.O,슈퍼스타 (Prod. by D.O)
72,5592623, 버벌진트,My Type (Prod. By 버벌진트)
73,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
74,5647453,The Quiett,On & On (Prod.by The Quiett)
75,5634219,라이머,Puss (Prod.by 라이머)
76,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
77,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
78,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
79,5616999,D.O,슈퍼스타 (Prod. by D.O)
80,5592623, 버벌진트,My Type (Prod. By 버벌진트)
81,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
82,5634219,라이머,Puss (Prod.by 라이머)
83,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
84,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
85,5616999,D.O,슈퍼스타 (Prod. by D.O)
86,5592623, 버벌진트,My Type (Prod. By 버벌진트)
87,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
88,5634221,GRAY,Unpretty Dreams (Prod.by GRAY)
89,5634219,라이머,Puss (Prod.by 라이머)
90,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
91,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
92,5616999,D.O,슈퍼스타 (Prod. by D.O)
93,5592623, 버벌진트,My Type (Prod. By 버벌진트)
94,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
95,5634219,라이머,Puss (Prod.by 라이머)
96,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
97,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
98,5616999,D.O,슈퍼스타 (Prod. by D.O)
99,5592623, 버벌진트,My Type (Prod. By 버벌진트)
100,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
101,5634219,라이머,Puss (Prod.by 라이머)
102,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
103,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
104,5592623, 버벌진트,My Type (Prod. By 버벌진트)
105,5616999,D.O,슈퍼스타 (Prod. by D.O)
106,5634218,"DJ Juice, D.Theo","Coma 07` (Prod.by DJ Juice, D.Theo)"
107,5634219,라이머,Puss (Prod.by 라이머)
108,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
109,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
110,5592623, 버벌진트,My Type (Prod. By 버벌진트)
111,5616999,D.O,슈퍼스타 (Prod. by D.O)
112,5634219,라이머,Puss (Prod.by 라이머)
113,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
114,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
115,5592623, 버벌진트,My Type (Prod. By 버벌진트)
116,5616999,D.O,슈퍼스타 (Prod. by D.O)
117,5634219,라이머,Puss (Prod.by 라이머)
118,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
119,5592623, 버벌진트,My Type (Prod. By 버벌진트)
120,5608760, 버벌진트,시작이 좋아 2015 (Prod. By 버벌진트)
121,5634219,라이머,Puss (Prod.by 라이머)
122,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
123,5634219,라이머,Puss (Prod.by 라이머)
124,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
125,5634219,라이머,Puss (Prod.by 라이머)
126,5642918,MC몽,아무도 모르게 (Prod. by MC몽)
127,5634219,라이머,Puss (Prod.by 라이머)
128,5634219,라이머,Puss (Prod.by 라이머)
129,5634219,라이머,Puss (Prod.by 라이머)
130,5634219,라이머,Puss (Prod.by 라이머)
131,5634219,라이머,Puss (Prod.by 라이머)
132,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
133,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
134,7859960,버벌진트,"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)"
135,7863752,G-Park 박명수,커피 (Prod. by G-Park 박명수)
136,7859960,버벌진트,"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)"
137,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
138,7868801,버벌진트,"Me, Myself & I (Prod. by 버벌진트) (Feat. 제시, 휘성)"
139,7863752,G-Park 박명수,커피 (Prod. by G-Park 박명수)
140,7868801,버벌진트,"Me, Myself & I (Prod. by 버벌진트) (Feat. 제시, 휘성)"
141,7859960,버벌진트,"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)"
142,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
143,7874382,"박재범, Cha Cha Malone","Solo (Remix) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 로꼬)"
144,7863752,G-Park 박명수,커피 (Prod. by G-Park 박명수)
145,7874382,"박재범, Cha Cha Malone","Solo (Remix) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 로꼬)"
146,7868801,버벌진트,"Me, Myself & I (Prod. by 버벌진트) (Feat. 제시, 휘성)"
147,7859960,버벌진트,"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)"
148,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
149,7863752,G-Park 박명수,커피 (Prod. by G-Park 박명수)
150,7874382,"박재범, Cha Cha Malone","Solo (Remix) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 로꼬)"
151,7868801,버벌진트,"Me, Myself & I (Prod. by 버벌진트) (Feat. 제시, 휘성)"
152,7881322,"박재범, Cha Cha Malone","사랑 할 때 아니야 (Money) (Prod. by 박재범, Cha Cha Malone) (Feat. 박재범, 지구인)"
153,7859960,버벌진트,"음악이 아니었다면 (Prod. by 버벌진트) (Feat. 치타, 버벌진트)"
154,7852464, D.O,언프리티 랩스타 (Don`t Stop) (Prod. By D.O)
155,7888331,Dok2,Bandz Up (Prod. by Dok2) (Feat. Dok2)
156,7863752,G-Park 박명수,커피 (Prod. by G-Park 박명수)
